título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
"Cuento: Maxi, el petirrojo sensible de la Dehesa de la Villa","Os invitamos a conocer a Maxi, un petirrojo muy sensible que habita en la Dehesa de la Villa y nos contará cómo es su vida en nuestro parque junto con el resto de las especies que lo habitan. Un cuento de Rosario Jiménez Echenique.",Aire Libre,Parques y jardines,5,18,,,sábado,11:00,,10/05/2025,10/05/2025,Madrid,Centro,0.0,True,False,True
Érase casi una vez,Compañía: Asociación teatral terra teatro.,Cultura y Espectáculos,Teatro Infantil,5,18,,,sábado,12:00,,10/05/2025,10/05/2025,Madrid,Usera,0.0,True,True,True
La edad de hielo,Compañía: Ciencia Divertida.,Cultura y Espectáculos,Teatro Infantil,3,18,,,sábado,12:00,,10/05/2025,10/05/2025,Madrid,Usera,0.0,True,True,True
Be Kind Remind: Taller infantil de creación audiovisual y archivo,"Be Kind, Remind es un taller diseñado para niñas y niños de 6 a 8 años y de 9 a 12 años, en el que, de la mano de la cineasta Camila de Lucas y el crítico de cine Javier Rodríguez, se explorará el archivo como herramienta creativa a través del juego y la experimentación. Los participantes trabajarán con imágenes preexistentes, descubriendo cómo el reciclaje audiovisual puede transformarse en una nueva forma de expresión y narración.",Cultura y Espectáculos,Proyecciones. Talleres,6,8,,,"sábado, domingo",,,10/05/2025,11/05/2025,Madrid,,,True,False,True
La Maga,Teatro infantil.,Cultura y Espectáculos,Teatro Infantil,3,10,,,sábado,12:00,,10/05/2025,10/05/2025,Madrid,Retiro,0.0,True,False,True
El flautista de Hamelín,"La ciudad de Hamelin es una ciudad triste, no conoce la alegría, ni el color, pues la música, la pintura y la poesía están prohibidos. En Hamelin solo se puede trabajar, la fiesta y la divertida convivencia están prohibidas. Por eso es la ciudad ideal para las ratas, que invaden la ciudad porque eso es lo que les gusta a ellas, la oscuridad y la tristeza. Las ratas lo han llenado todo y sólo la magia de la música será capaz de eliminarlas.",Cultura y Espectáculos,Magia. Música,,,,,sábado,19:00,,10/05/2025,10/05/2025,Madrid,,0.0,True,True,True
The cook and the king,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,5,18,True,,sábado,12:00,,10/05/2025,10/05/2025,Madrid,Centro,0.0,True,True,True
El baúl del Abuelo,,No especificada,No especificada,,,,,sábado,19:00,,10/05/2025,10/05/2025,Madrid,Centro,0.0,True,False,True
"CICLO BEBÉS. Teatro Tyl Tyl, presenta “Tylito”","Concierto teatralizado para un público activo en la percepción y la escucha, pero también en la participación de la primera infancia. El sonido, la música y las canciones impulsan el deseo de vivir la vida con intensidad y alegría. El repertorio es original y está construido a partir de la literatura oral y ritmos cercanos que inviten y contagien el movimiento.",Cultura y Espectáculos,Conciertos. Música. Teatro Infantil,0,3,,,sábado,11:00,,10/05/2025,10/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
"INFANTIL. Nando Caneca, presenta “UCO, un paisano diferente”","La vida ya no es como era antes y esto es una realidad, mucha gente deja el pueblo y se marcha a la ciudad. Aquí se presenta Uco, un paisano diferente, que ha venido a este puebluco a conocer a su gente. Un espectáculo de circo, magia, humor y teatro gestual inspirado y recreado en el mundo rural.",Cultura y Espectáculos,Circo. Magia. Teatro Infantil,5,18,,,sábado,18:00,,10/05/2025,10/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
Cuentacuentos - La Flor más Bonita del Mundo,Sin descripción,No especificada,No especificada,,,,,sábado,11:00,,10/05/2025,10/05/2025,Madrid,Chamberí,0.0,True,True,True
Magia familiar: Magia de risa,A cargo de Alfonso V.,Cultura y Espectáculos,Magia,5,5,,,sábado,12:00,,10/05/2025,10/05/2025,Madrid,Centro,0.0,True,True,False
Cuentacuentos en inglés:A world of magic,A cargo de la academia de inglés Kids&Us.,Educación,Idiomas,3,7,,,sábado,18:00,,10/05/2025,10/05/2025,Madrid,Centro,0.0,True,True,False
El Monstruo marino,Sin descripción,No especificada,No especificada,6,18,,,sábado,12:00,,10/05/2025,10/05/2025,Madrid,Moratalaz,0.0,True,True,True
"Concierto familiar: ""Loli Pop Rock""",A cargo de la Cía. Tanalborde.,Cultura y Espectáculos,Conciertos. Música,2,2,,,sábado,12:00,,10/05/2025,10/05/2025,Madrid,Centro,0.0,True,True,False
Taller 'Insectos y otros pequeños habitantes de La Cabaña',,Cultura y Espectáculos,Talleres,,,,,sábado,16:30,,10/05/2025,10/05/2025,Madrid,Retiro,0.0,True,True,False
